구명,대여소번호,대여소 주소,groups,위도,경도
강동구,1011,서울특별시 강동구 천호대로 1120성내동 450-31,220,37.534771,127.13523899999998
강동구,1012,서울특별시 강동구 올림픽로 610성내동 93-34,249,37.536026,127.122726
강동구,1013,서울특별시 강동구 올림픽로 지하 5501번 출입구,51,37.530772999999996,127.120926
강동구,1014,서울특별시 강동구 고덕로 295명일동 320-2,142,37.5508,127.142624
강동구,1015,서울특별시 강동구 구천면로 431-2샛마을 근린공원,142,37.550079,127.14691200000001
강동구,1016,서울특별시 강동구 상일로 152강일동 607-14,17,37.559399,127.171158
강동구,1017,서울특별시 강동구 천호대로 1207맥도날드(길동),63,37.535472999999996,127.145172
강동구,1018,서울특별시 강동구 양재대로 1330둔촌동 541-6,406,37.524681,127.135406
강동구,1019,서울특별시 강동구 성내로 91다성이즈빌아파트(호원대 대각선 맞은편),332,37.526825,127.130028
강동구,1020,서울특별시 강동구 성내로 57강동경찰서,332,37.528290000000005,127.126801
강동구,1021,서울특별시 강동구 아리수로 419강일동 306-7,122,37.564301,127.17395
강동구,1022,서울특별시 강동구 양재대로 1441성내동 379-41,220,37.533764,127.13803100000001
강동구,1023,서울특별시 강동구 상일동 504 상일동 삼성엔지니어링 앞,345,37.549999,127.17468999999998
강동구,1024,서울특별시 성내동 546-3 강동구청 앞,51,37.529251,127.123108
강동구,1025,서울특별시  상일동 440-3상일초등학교,345,37.546841,127.17251599999999
강동구,1026,서울특별시 명일동 59대명초교 입구 교차로,422,37.546631,127.15588400000001
강동구,1027,서울특별시 길동 176-3프라자 아파트 앞,63,37.535999,127.147697
강동구,1028,서울특별시 성내동 119-2포레스 주상복합 빌딩,51,37.5331,127.12278
강동구,1029,서울특별시 성내동  44-1롯데 시네마,249,37.536541,127.12539699999999
강동구,1030,서울특별시 성내동 478미호 플랜트 앞,51,37.527060999999996,127.12207
강동구,1031,서울특별시 암사동 440-13암사동 CBIS,210,37.555851000000004,127.129898
강동구,1032,서울특별시 암사동 445선사고등학교,411,37.556728,127.13620800000001
강동구,1033,서울특별시 고덕동 673고덕동 아남아파트,321,37.557990999999994,127.14470700000001
강동구,1034,서울특별시 고덕동 603고덕동 래미안 힐스테이트,256,37.561909,127.150749
강동구,1035,서울특별시 명일동 46-5고덕역 4번출구,160,37.555015999999995,127.155273
강동구,1036,서울특별시 명일동 48-2고덕동 주양쇼핑,160,37.551998,127.153297
강동구,1037,서울특별시 강일동 448-2강일 6단지,197,37.562588,127.17761200000001
강동구,1038,서울특별시 강일동 333-2강일 다솜 어린이 공원,122,37.568668,127.174797
강동구,1039,서울특별시 고덕동 215고덕초등학교,17,37.561279,127.167801
강동구,1040,서울특별시 고덕동 375강일동 에너지 마루,149,37.5672,127.16346000000001
강동구,1041,서울특별시 고덕동 499-2묘곡초등학교,256,37.559196,127.153297
강동구,1042,서울특별시 강일동 63-20강일 2.5단지 사이,122,37.568562,127.177002
강동구,1044,서울특별시  양재대로 1572굽은다리역,142,37.545398999999996,127.142601
